organisationid,shardid,shortcode,organisationstatus,createddateutc,signupdateutc,productoption,deleteddateutc,saleschannel,channeltype,salestaxbasis,salestaxperiod,salestaxtype,incometaxbasis,provisionaltaxbasis,managedbypracticeflag,payingflag,marketcode,nonpracticestaffusers,practicestaffusers,trialflag
CDEAB7FB-E43F-4344-904D-3137FED5AAC7,87,!Qddkq,Active,2015-10-14 05:32:10.737,2020-02-13 00:00:00,Standard,,Partner,Accountant,Australian Cash Basis,Australian Quarterly (Option 1),Australian GST,None,None,1,1,AU,2,6,0
726A4578-00D6-4357-BFE7-85D1A656EEBF,121,!DhWsK,Active,2018-08-06 00:52:15.52,2018-08-06 00:00:00,Standard,,Partner,Accountant,Australian Accrual Basis,Australian Quarterly (Option 1),Australian GST,None,None,1,1,AU,0,15,0
5CDF4968-430D-4C55-A52E-845CD144B786,116,!QPRI6,Active,2014-11-02 23:26:12.553,2014-11-03 00:00:00,Standard,,Partner,Accountant,Australian Accrual Basis,Australian Quarterly (Option 1),Australian GST,None,None,1,1,AU,1,18,0
8F483757-ACE6-4A36-8805-10481BCCAC42,116,!4VKHh,Active,2014-10-22 01:55:59.02,2014-10-22 00:00:00,Standard,,Partner,Bookkeeper,Australian Accrual Basis,Australian Quarterly (Option 1),Australian GST,None,None,1,1,AU,1,3,0
195AA44C-DD6D-42A9-914A-552086303B2B,133,!hWiKs,Active,2015-12-07 00:09:08,2017-03-15 00:00:00,Premium 5,,Partner,Bookkeeper,Australian Accrual Basis,Australian Monthly,Australian GST,Australian Quarterly Installment (Option 1),None,1,1,AU,1,11,0
9B75D0F9-AC49-47B9-94A6-FE97E12D8254,102,!PrrCq,Active,2017-06-05 01:09:52,2017-06-27 00:00:00,Premium 50,,Partner,Accountant,Australian Accrual Basis,Australian Quarterly (Option 1),Australian GST,Australian Income Times (Option 2),None,1,1,AU,6,6,0
CE4F2AD3-5374-4DA3-A52D-8F877EE6BA31,133,!KRH8m,Active,2015-11-05 03:42:05,2018-03-07 00:00:00,Starter,,Partner,Accountant,Australian Accrual Basis,Australian Quarterly (Option 1),Australian GST,Australian Quarterly Installment (Option 1),None,1,1,AU,3,1,0
5C17DD54-AE6E-4940-B824-148DC6B7E150,72,!gq0VS,Active,2016-07-04 02:39:20,2019-03-22 00:00:00,Standard,,Partner,Accountant,Australian Cash Basis,Australian Quarterly (Option 1),Australian GST,Australian Quarterly Installment (Option 1),None,1,1,AU,1,7,0
468D1B6F-AD3D-4801-8BC3-4294AF052E24,166,!z0sya,Active,2016-10-05 03:26:21,2016-10-07 00:00:00,Premium 5,,Partner,Bookkeeper,Australian Cash Basis,Australian Quarterly (Option 1),Australian GST,Australian Quarterly Installment (Option 1),None,1,1,AU,1,4,0
E8629BF3-5E42-459B-9FFA-93530AE1DA50,138,!cA4JZ,Active,2015-03-31 02:36:37,2018-05-10 00:00:00,Premium 5,,Partner,Bookkeeper,Australian Cash Basis,Australian Quarterly (Option 1),Australian GST,Australian Quarterly Installment (Option 1),None,1,1,AU,9,2,0
0BEDCED6-066B-4DCD-AC9F-6550304947E6,102,!yX7YU,Active,2014-05-08 11:03:34,2015-11-30 00:00:00,Premium,,Partner,Accountant,Australian Cash Basis,Australian Quarterly (Option 1),Australian GST,None,None,1,1,AU,4,9,0
C1EF0887-9008-4DF3-9D15-34DC8934FDBA,121,!hYmA8,Active,2013-06-17 10:18:59,2013-07-04 00:00:00,Premium,,Partner,Accountant,Australian Cash Basis,Australian Quarterly (Option 1),Australian GST,Australian Quarterly Installment (Option 1),None,1,1,AU,3,2,0
BE69BDC8-B6B9-413B-B312-B9A2E3879633,103,!bo8jM,Active,2019-07-12 00:37:05,2019-08-11 00:00:00,Standard,,Partner,Bookkeeper,Australian Cash Basis,Australian Quarterly (Option 1),Australian GST,None,None,1,1,AU,2,2,0
C13108EC-90FC-45B2-8ED4-7209991BB849,121,!JotlA,Active,2013-10-01 02:25:06,,Unknown,,Partner,Accountant,Australian Cash Basis,Australian Quarterly (Option 1),Australian GST,Australian Quarterly Installment (Option 1),None,1,0,AU,0,12,0
313B8D8F-C039-45ED-AB2A-B734451E0F93,156,!ql4mD,Active,2012-01-10 01:15:53,2012-01-13 00:00:00,Premium 50,,Partner,Accountant,Australian Accrual Basis,Australian Quarterly (Option 1),Australian GST,None,None,1,1,AU,5,7,0
CBDDE04C-6A55-4DAD-BC52-154E7C458311,144,!IIFoH,Active,2018-06-28 03:55:28,2018-06-28 00:00:00,Standard,,Partner,Accountant,Australian Cash Basis,Australian Quarterly (Option 1),Australian GST,Australian Quarterly Installment (Option 1),None,1,1,AU,1,13,0
859354AD-8B26-41BA-A79F-3B3B0D4889D9,88,!v4N3y,Active,2017-08-20 23:15:59,2018-07-04 00:00:00,Standard,,Partner,Accountant,Australian Cash Basis,Australian Quarterly (Option 1),Australian GST,None,None,1,1,AU,1,7,0
006DB458-F1C9-44E2-A8B6-C4977DD31145,72,!Xyb9u,Active,2016-06-28 23:30:03,2016-06-29 00:00:00,GST Cashbook,,Partner,Accountant,Australian Cash Basis,Australian Quarterly (Option 1),Australian GST,None,None,1,1,AU,1,7,0
EE72BDCA-A662-42E5-B724-04B272C1837D,115,!MXdC7,Active,2019-01-11 03:49:43,2019-01-11 00:00:00,Standard,,Partner,Accountant,Australian Cash Basis,Australian Quarterly (Option 1),Australian GST,None,None,1,1,AU,4,1,0
899F5D25-740E-43DB-B0D6-E880F7116A26,133,!AJQsS,Active,2018-01-25 03:30:03,2018-01-29 00:00:00,Standard,,Partner,Accountant,Australian Cash Basis,Australian Quarterly (Option 1),Australian GST,None,None,1,1,AU,1,8,0
38BC8A52-9DC0-4994-9640-7FE3301A80DA,87,!Ke0BY,Active,2018-11-09 00:23:22,2018-11-09 00:00:00,Premium 5,,Partner,Accountant,Australian Cash Basis,Australian Quarterly (Option 1),Australian GST,Australian Quarterly Installment (Option 1),None,1,1,AU,0,4,0
D73A4888-3669-4FCD-B946-585A9A07E876,108,!kr6m6,Active,2013-12-11 00:36:34,2013-12-11 00:00:00,Premium 5,,Partner,Accountant,Australian Cash Basis,Australian Quarterly (Option 1),Australian GST,None,None,1,1,AU,2,2,0
66D0ABC3-C93A-457F-88A5-781D3EEB0A08,138,!kEkan,Active,2017-10-24 04:10:11,2017-10-24 00:00:00,Ledger,,Partner,Accountant,Australian Accrual Basis,Australian Quarterly (Option 1),Australian GST,None,None,1,1,AU,1,9,0
F20832D7-9A91-4BB4-AC7F-50F9FF761979,163,!OWjl2,Active,2016-07-14 00:28:01,2016-08-15 00:00:00,Standard,,Partner,Accountant,Australian Cash Basis,Australian Monthly,Australian GST,Australian Income Times (Option 2),None,1,1,AU,1,2,0
